gender,age,marital_status,education,donate_frequency,volunteer_frequency,voted
Male,More than median,Married,Graduate or professional degree,At least once a month,"More than once a month, less than once a year",Yes
Male,More than median,Never married,2 year degree,At least once a month,Haven't volunteered in past 12 months,Yes
Male,More than median,Divorced,4 year degree,At least once a month,At least once a month,Yes
Male,More than median,Never married,2 year degree,"More than once a month, less than once a year","More than once a month, less than once a year",No
Male,More than median,Married,4 year degree,At least once a month,Haven't volunteered in past 12 months,Yes
Female,Less than median,Married,2 year degree,"More than once a month, less than once a year",Haven't volunteered in past 12 months,Yes
Male,More than median,Married,2 year degree,"More than once a month, less than once a year",At least once a month,Yes
Male,More than median,Married,High school graduate,At least once a month,Haven't volunteered in past 12 months,No
Female,More than median,Married,Some college,At least once a month,At least once a month,No
Male,Less than median,Married,4 year degree,At least once a month,"More than once a month, less than once a year",Yes
Male,More than median,Never married,4 year degree,"More than once a month, less than once a year",At least once a month,Yes
Male,More than median,Married,Graduate or professional degree,At least once a month,At least once a month,Yes
Female,Less than median,Never married,Some college,At least once a month,"More than once a month, less than once a year",Yes
Female,Less than median,Never married,2 year degree,At least once a month,Haven't volunteered in past 12 months,No
Male,Less than median,Never married,4 year degree,"More than once a month, less than once a year","More than once a month, less than once a year",Yes
Male,Less than median,Married,Graduate or professional degree,At least once a month,"More than once a month, less than once a year",Yes
Female,More than median,Married,High school graduate,"More than once a month, less than once a year",Haven't volunteered in past 12 months,Yes
Male,Less than median,Never married,4 year degree,"More than once a month, less than once a year","More than once a month, less than once a year",Yes
Male,Less than median,Married,High school graduate,"More than once a month, less than once a year","More than once a month, less than once a year",No
Female,Less than median,Never married,Some college,At least once a month,Haven't volunteered in past 12 months,Yes
Female,Less than median,Divorced,Some college,"More than once a month, less than once a year",At least once a month,Yes
Female,More than median,Married,4 year degree,At least once a month,Haven't volunteered in past 12 months,Yes
Female,Less than median,Never married,Some college,At least once a month,"More than once a month, less than once a year",Yes
Female,More than median,Married,High school graduate,At least once a month,Haven't volunteered in past 12 months,Yes
Female,Less than median,Never married,High school graduate,"More than once a month, less than once a year",Haven't volunteered in past 12 months,No
Male,More than median,Married,2 year degree,At least once a month,"More than once a month, less than once a year",Yes
Male,Less than median,Never married,High school graduate,"More than once a month, less than once a year",At least once a month,Yes
Male,Less than median,Never married,Some college,"More than once a month, less than once a year","More than once a month, less than once a year",Yes
Male,Less than median,Never married,Some college,"More than once a month, less than once a year",Haven't volunteered in past 12 months,Yes
Female,More than median,Married,2 year degree,At least once a month,"More than once a month, less than once a year",Yes
Male,More than median,Separated,2 year degree,"More than once a month, less than once a year",Haven't volunteered in past 12 months,Yes
Male,More than median,Never married,4 year degree,At least once a month,"More than once a month, less than once a year",Yes
Male,More than median,Separated,Doctorate,"More than once a month, less than once a year",Haven't volunteered in past 12 months,Yes
Female,More than median,Married,Some college,At least once a month,At least once a month,Yes
Female,More than median,Married,4 year degree,"More than once a month, less than once a year",Haven't volunteered in past 12 months,Yes
Male,More than median,Never married,Doctorate,At least once a month,At least once a month,Yes
Female,Less than median,Never married,High school graduate,"More than once a month, less than once a year",Haven't volunteered in past 12 months,No
