Country Code,Country Name,Region Name,total_constant_amount
UKR,Ukraine,Europe and Eurasia,17193710403
ISR,Israel,Middle East and North Africa,3302860882
JOR,Jordan,Middle East and North Africa,1686862605
EGY,Egypt,Middle East and North Africa,1503609426
ETH,Ethiopia,Sub-Saharan Africa,1457374911
SOM,Somalia,Sub-Saharan Africa,1181033990
NGA,Nigeria,Sub-Saharan Africa,1019947490
COD,Congo (Kinshasa),Sub-Saharan Africa,990456757
AFG,Afghanistan,South and Central Asia,886536741
KEN,Kenya,Sub-Saharan Africa,846303488
MOZ,Mozambique,Sub-Saharan Africa,776819594
SYR,Syria,Middle East and North Africa,762793444
SSD,South Sudan,Sub-Saharan Africa,755501999
COL,Colombia,Western Hemisphere,738778592
YEM,Yemen,Middle East and North Africa,733316883
NPL,Nepal,South and Central Asia,696170849
UGA,Uganda,Sub-Saharan Africa,644877325
TZA,Tanzania,Sub-Saharan Africa,631644832
ZMB,Zambia,Sub-Saharan Africa,597820743
SDN,Sudan,Sub-Saharan Africa,567209098
LBN,Lebanon,Middle East and North Africa,535952668
BGD,Bangladesh,South and Central Asia,487540804
MWI,Malawi,Sub-Saharan Africa,447614734
ZAF,South Africa,Sub-Saharan Africa,439899509
HTI,Haiti,Western Hemisphere,437668689
IRQ,Iraq,Middle East and North Africa,425802824
ZWE,Zimbabwe,Sub-Saharan Africa,310140459
MDA,Moldova,Europe and Eurasia,309366720
PSE,West Bank and Gaza,Middle East and North Africa,293565379
MLI,Mali,Sub-Saharan Africa,291018395
NER,Niger,Sub-Saharan Africa,266892659
PHL,Philippines,East Asia and Oceania,258476776
FSM,"Micronesia, Federated States of",East Asia and Oceania,247876673
ECU,Ecuador,Western Hemisphere,246670112
MMR,Burma (Myanmar),East Asia and Oceania,239484973
CIV,Cote d'Ivoire,Sub-Saharan Africa,237744072
IDN,Indonesia,East Asia and Oceania,233570839
MEX,Mexico,Western Hemisphere,232214023
GTM,Guatemala,Western Hemisphere,229369898
VEN,Venezuela,Western Hemisphere,208589666
VNM,Vietnam,East Asia and Oceania,195023396
HND,Honduras,Western Hemisphere,193945833
PER,Peru,Western Hemisphere,192851446
GHA,Ghana,Sub-Saharan Africa,191438222
MDG,Madagascar,Sub-Saharan Africa,191375973
TUR,Turkey,Europe and Eurasia,190403723
RWA,Rwanda,Sub-Saharan Africa,188172358
SEN,Senegal,Sub-Saharan Africa,170313693
PAK,Pakistan,South and Central Asia,169860401
SLV,El Salvador,Western Hemisphere,167670168
LBR,Liberia,Sub-Saharan Africa,167461793
TUN,Tunisia,Middle East and North Africa,167288803
CMR,Cameroon,Sub-Saharan Africa,165798876
BFA,Burkina Faso,Sub-Saharan Africa,163319958
IND,India,South and Central Asia,153353748
GEO,Georgia,Europe and Eurasia,149075515
TWN,Taiwan,East Asia and Oceania,135725540
CAF,Central African Republic,Sub-Saharan Africa,117303841
LKA,Sri Lanka,South and Central Asia,115736507
KHM,Cambodia,East Asia and Oceania,114561872
LSO,Lesotho,Sub-Saharan Africa,114438591
MHL,Marshall Islands,East Asia and Oceania,111738030
THA,Thailand,East Asia and Oceania,105466256
TCD,Chad,Sub-Saharan Africa,98057479
BIH,Bosnia and Herzegovina,Europe and Eurasia,93794827
ARM,Armenia,Europe and Eurasia,92971426
TJK,Tajikistan,South and Central Asia,88548828
BEN,Benin,Sub-Saharan Africa,87642753
TGO,Togo,Sub-Saharan Africa,86263740
CRI,Costa Rica,Western Hemisphere,86036935
DOM,Dominican Republic,Western Hemisphere,84508844
NAM,Namibia,Sub-Saharan Africa,82892381
PAN,Panama,Western Hemisphere,73585798
BRA,Brazil,Western Hemisphere,71288053
CS-KM,Kosovo,Europe and Eurasia,70347129
SWZ,Eswatini,Sub-Saharan Africa,70080347
AGO,Angola,Sub-Saharan Africa,68318476
